Date,최고가,최저가,시작가,종가,거래량,등락
2020-06-05,2187.25,2138.179931640625,2151.169921875,2181.8701171875,854600,1
2020-06-08,2217.2099609375,2174.9599609375,2215.60009765625,2184.2900390625,854000,1
2020-06-09,2212.169921875,2166.010009765625,2206.22998046875,2188.919921875,817100,1
2020-06-10,2200.679931640625,2178.1201171875,2187.909912109375,2195.68994140625,706300,0
2020-06-11,2200.719970703125,2148.510009765625,2184.360107421875,2176.780029296875,827400,0
2020-06-12,2137.1201171875,2084.6298828125,2088.239990234375,2132.300048828125,689900,0
2020-06-15,2129.669921875,2030.8199462890625,2114.409912109375,2030.8199462890625,1071600,1
2020-06-16,2138.080078125,2079.02001953125,2091.090087890625,2138.050048828125,973300,1
2020-06-17,2154.3701171875,2105.260009765625,2133.179931640625,2141.050048828125,927200,0
2020-06-18,2145.1298828125,2120.2900390625,2134.35009765625,2133.47998046875,767100,1
2020-06-19,2153.570068359375,2108.909912109375,2153.090087890625,2141.320068359375,1079300,0
2020-06-22,2142.8798828125,2122.10009765625,2126.3798828125,2126.72998046875,789400,1
2020-06-23,2158.14990234375,2110.510009765625,2149.1298828125,2131.239990234375,917600,1
2020-06-24,2171.860107421875,2143.909912109375,2145.929931640625,2161.510009765625,913900,0
2020-06-25,2143.330078125,2112.3701171875,2130.449951171875,2112.3701171875,1017700,1
2020-06-26,2142.0400390625,2115.25,2137.469970703125,2134.64990234375,761000,0
2020-06-29,2120.5,2087.840087890625,2105.5400390625,2093.47998046875,643200,1
2020-06-30,2134.3798828125,2108.260009765625,2124.3798828125,2108.330078125,708600,0
2020-07-01,2133.550048828125,2101.330078125,2128.81005859375,2106.699951171875,1116200,1
2020-07-02,2135.3701171875,2113.97998046875,2116.719970703125,2135.3701171875,1092000,1
2020-07-03,2153.5400390625,2135.300048828125,2147.889892578125,2152.409912109375,770100,1
2020-07-06,2191.280029296875,2157.7099609375,2158.949951171875,2187.929931640625,666900,0
2020-07-07,2206.7900390625,2164.030029296875,2202.0400390625,2164.169921875,847400,0
2020-07-08,2173.830078125,2150.889892578125,2166.760009765625,2158.8798828125,677800,1
2020-07-09,2181.47998046875,2166.739990234375,2171.14990234375,2167.89990234375,619400,0
2020-07-10,2171.52001953125,2140.2900390625,2171.43994140625,2150.25,887000,1
2020-07-13,2188.800048828125,2163.070068359375,2170.510009765625,2186.06005859375,650200,0
2020-07-14,2183.610107421875,2165.60009765625,2176.429931640625,2183.610107421875,811000,1
2020-07-15,2216.969970703125,2190.659912109375,2208.72998046875,2201.8798828125,830300,0
2020-07-16,2207.340087890625,2177.820068359375,2203.300048828125,2183.760009765625,784600,1
2020-07-17,2204.199951171875,2187.85009765625,2187.85009765625,2201.18994140625,569300,0
2020-07-20,2209.590087890625,2183.830078125,2209.590087890625,2198.199951171875,686800,1
2020-07-21,2234.860107421875,2214.280029296875,2219.18994140625,2228.830078125,918500,0
2020-07-22,2238.860107421875,2221.6201171875,2228.199951171875,2228.659912109375,856200,0
2020-07-23,2227.239990234375,2202.989990234375,2227.239990234375,2216.18994140625,934400,0
2020-07-24,2219.570068359375,2195.489990234375,2196.72998046875,2200.43994140625,1001000,1
2020-07-27,2231.25,2203.47998046875,2203.47998046875,2217.860107421875,928600,1
2020-07-28,2266.0,2237.2099609375,2238.18994140625,2256.989990234375,866700,1
2020-07-29,2276.7900390625,2252.239990234375,2258.35009765625,2263.159912109375,899300,1
2020-07-30,2281.330078125,2263.81005859375,2275.330078125,2267.010009765625,712900,0
2020-07-31,2281.409912109375,2248.489990234375,2278.530029296875,2249.3701171875,739700,1
2020-08-03,2254.3798828125,2237.0400390625,2251.64990234375,2251.0400390625,648500,1
2020-08-04,2284.659912109375,2269.68994140625,2272.330078125,2279.969970703125,722800,1
2020-08-05,2312.139892578125,2283.949951171875,2289.22998046875,2311.860107421875,841200,1
2020-08-06,2352.47998046875,2322.639892578125,2322.639892578125,2342.610107421875,797000,1
2020-08-07,2362.239990234375,2333.6201171875,2349.25,2351.669921875,812600,1
2020-08-10,2390.510009765625,2349.330078125,2353.919921875,2386.3798828125,784400,1
2020-08-11,2429.360107421875,2396.110107421875,2396.110107421875,2418.669921875,843400,1
2020-08-12,2432.85009765625,2393.27001953125,2414.780029296875,2432.35009765625,752900,1
2020-08-13,2458.169921875,2412.489990234375,2455.280029296875,2437.530029296875,907200,0
2020-08-14,2435.0,2383.68994140625,2427.85009765625,2407.489990234375,968100,0
2020-08-18,2419.64990234375,2336.780029296875,2405.840087890625,2348.239990234375,909800,1
2020-08-19,2380.10009765625,2353.169921875,2370.8701171875,2360.5400390625,638000,0
2020-08-20,2357.080078125,2270.85009765625,2339.909912109375,2274.219970703125,903700,1
2020-08-21,2329.340087890625,2280.969970703125,2306.159912109375,2304.590087890625,865700,1
2020-08-24,2332.330078125,2283.47998046875,2309.3798828125,2329.830078125,649300,1
2020-08-25,2369.780029296875,2340.969970703125,2352.14990234375,2366.72998046875,771600,1
2020-08-26,2374.679931640625,2336.97998046875,2367.739990234375,2369.320068359375,956500,0
2020-08-27,2373.360107421875,2344.3798828125,2371.949951171875,2344.449951171875,913700,1
2020-08-28,2379.260009765625,2345.280029296875,2362.219970703125,2353.800048828125,1297300,0
2020-08-31,2381.5,2326.06005859375,2377.090087890625,2326.169921875,1647800,1
2020-09-01,2355.89990234375,2331.22998046875,2340.18994140625,2349.550048828125,1085200,1
2020-09-02,2369.570068359375,2341.2900390625,2363.429931640625,2364.3701171875,1429300,1
2020-09-03,2401.780029296875,2382.22998046875,2383.260009765625,2395.89990234375,981500,0
2020-09-04,2371.02001953125,2332.679931640625,2332.679931640625,2368.25,1351000,1
2020-09-07,2387.489990234375,2362.419921875,2369.85009765625,2384.219970703125,1197400,1
2020-09-08,2407.56005859375,2391.429931640625,2402.659912109375,2401.909912109375,979400,0
2020-09-09,2388.85009765625,2369.1201171875,2372.530029296875,2375.81005859375,946200,1
2020-09-10,2406.679931640625,2388.56005859375,2404.830078125,2396.47998046875,1064600,1
2020-09-11,2397.56005859375,2374.0,2389.760009765625,2396.68994140625,882900,1
2020-09-14,2429.070068359375,2410.7900390625,2418.330078125,2427.909912109375,963100,1
2020-09-15,2444.570068359375,2423.7900390625,2434.590087890625,2443.580078125,850000,0
2020-09-16,2450.530029296875,2429.93994140625,2442.719970703125,2435.919921875,772900,0
2020-09-17,2437.02001953125,2398.68994140625,2430.77001953125,2406.169921875,853700,1
2020-09-18,2417.81005859375,2396.330078125,2413.530029296875,2412.39990234375,756500,0
2020-09-21,2427.169921875,2379.3798828125,2412.43994140625,2389.389892578125,1042000,0
2020-09-22,2388.489990234375,2323.580078125,2388.139892578125,2332.590087890625,1051000,1
2020-09-23,2354.4599609375,2287.43994140625,2352.56005859375,2333.239990234375,735000,0
2020-09-24,2309.739990234375,2268.8798828125,2295.6201171875,2272.699951171875,714900,1
2020-09-25,2296.360107421875,2267.6298828125,2295.18994140625,2278.7900390625,698000,1
2020-09-28,2314.81005859375,2291.320068359375,2301.159912109375,2308.080078125,606000,1
2020-09-29,2339.830078125,2320.0400390625,2331.510009765625,2327.889892578125,646200,1
2020-10-05,2364.72998046875,2327.830078125,2330.550048828125,2358.0,763600,1
2020-10-06,2378.280029296875,2355.389892578125,2369.169921875,2365.89990234375,861800,1
2020-10-07,2387.449951171875,2347.820068359375,2350.820068359375,2386.93994140625,735800,1
2020-10-08,2409.010009765625,2383.820068359375,2408.489990234375,2391.9599609375,961700,1
2020-10-12,2409.419921875,2393.739990234375,2404.179931640625,2403.72998046875,843600,0
2020-10-13,2418.889892578125,2385.8701171875,2416.85009765625,2403.14990234375,724900,0
2020-10-14,2405.56005859375,2375.5400390625,2403.739990234375,2380.47998046875,901200,0
2020-10-15,2376.72998046875,2348.739990234375,2375.909912109375,2361.2099609375,1165500,0
2020-10-16,2370.72998046875,2325.030029296875,2363.8798828125,2341.530029296875,920200,1
2020-10-19,2364.25,2344.77001953125,2352.919921875,2346.739990234375,930800,1
2020-10-20,2358.409912109375,2322.06005859375,2333.56005859375,2358.409912109375,870300,1
2020-10-21,2371.739990234375,2356.320068359375,2363.030029296875,2370.860107421875,810400,0
2020-10-22,2360.219970703125,2339.72998046875,2355.610107421875,2355.050048828125,814000,1
2020-10-23,2368.570068359375,2344.489990234375,2364.840087890625,2360.81005859375,890400,0
2020-10-26,2374.5,2342.580078125,2366.5,2343.909912109375,822300,0
2020-10-27,2349.330078125,2321.22998046875,2328.659912109375,2330.840087890625,666900,1
2020-10-28,2345.4599609375,2316.469970703125,2324.179931640625,2345.260009765625,705200,0
2020-10-29,2330.169921875,2299.909912109375,2312.340087890625,2326.669921875,509100,0
2020-10-30,2320.199951171875,2266.929931640625,2319.56005859375,2267.14990234375,795600,1
2020-11-02,2302.639892578125,2267.949951171875,2276.610107421875,2300.159912109375,678500,1
2020-11-03,2344.77001953125,2315.300048828125,2315.81005859375,2343.31005859375,887400,1
2020-11-04,2371.139892578125,2339.949951171875,2361.320068359375,2357.320068359375,986800,1
2020-11-05,2413.7900390625,2370.85009765625,2373.409912109375,2413.7900390625,702000,1
2020-11-06,2431.110107421875,2404.969970703125,2421.7900390625,2416.5,825600,1
2020-11-09,2459.14990234375,2434.52001953125,2438.6298828125,2447.199951171875,1354900,1
2020-11-10,2457.93994140625,2435.590087890625,2453.949951171875,2452.830078125,1464200,1
